prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
HERMES HERBAG PM 2 in 1 2way Hand Bag Toile Officier Vibrato,/collections/hermes/products/ao12387,"228,000", Square : F ; Production in 2002," W 11.8 x H 10.2 x D 4.3 "" Handle Drop. 2.0 "" Strap Drop. 18.1 """," Orange, Brown, etc. / Toile Officier, Vibrato, Leather"," Spare Bag, Shoulder Strap, Cover of Key, Keys*2, Padlock, Inside fastener"," Though there is a little feeling of used, good condition.  Vibrato has scuff and lose shape."," Though there is a little feeling of used, good condition.", -, -, AO12387
HERMES Cavalier One Shoulder Bag Red 100% Cotton,/collections/hermes/products/ao11716,"198,000",-,"W 11.8 x H 19.7 x D 7.9 ""
Strap total length. 29.1 ""","Red, Orange, Yellow, Navy
/ 100% Cotton",-,"There is feeling of used.

Strap has frayed.","There is feeling of used.

Tag has minor frayed.",-,-,AO11716
HERMES Onimaitou Pochette Cross Body Shoulder Bag Black Box Calf,/collections/hermes/products/ao11682,"59,800",Square: F ; Production in 2002,"W 6.5 "" x H 7.5 "" x D 1.0 ""
Strap Drop. 22.0 ""","Black
/ Box Calf",-,"Though there is minor scratches, good condition.","Though there is a little feeling of used, good condition.

There is scuff.",-,Smell of perfume.,AO11682
HERMES SAC A DEPECHES 41 Briefcase Ardennes Black,/collections/hermes/products/ao11427,"268,000",Square:A ;Production in 1997,"W 16.1 x H 11.8 x D 3.9 ""
Handle Drop. 1.2 ""","Black
/ Vachette Grainee Des Ardennes","Box, Dust bag, Key x2, Key cover",Very good condition.,Very good condition.,-,-,AO11427
HERMES HERBAG Sac a Dos 2 in 1 Backpack Black T.Officier,/collections/hermes/products/ao11303,"168,000",Square:H ;Production in 2004,"W 11.2 x H 11.0 or 13.8 x D 4.3 ""
Handle Drop. 2.0 ""
Strap total length. 28.3 ""","Black

/ Toile officier, Leather","Box, Dust bag, Spare bag, Padlock, Key x2, Key cover, Inside fastener, Manual",There is scratches.,"Though there is a little feeling of used, good condition.",-,-,AO11303
HERMES Horse Shoulder Bag Bi-Color Vachette Grainee Ardenne,/collections/hermes/products/ao11109,"98,000",Couldn't find.,"W 6.7 x H 5.9 x D 2.2 ""
Shoulder Drop. 24.0 ""","Navy, Red
/ Vachette Grainee Ardenne",-,"There is feeling of used.
Metal fittings has peeled.
Zipper top has discoloration.","Though there is a little feeling of used, good condition.",-,-,AO11109
HERMES BIRKIN 40 Hand Bag Tabac Camel Traurillon Clemence,/collections/hermes/products/ao11108,"898,000",Square: M ;Production in 2009,"W 15.7 x H 11.8 x D 7.9 ""
Handle Drop. 3.9 ""","Tabac Camel
/ Traurillon Clemence","Cover of Key, Key x2, Padlock, Dust Bag","Though there is a little feeling of used, good condition.","Though there is a little feeling of used and scuff, good condition.",-,-,AO11108
HERMES Sac De Pansage Shoulder Bag Ivory Brown,/collections/hermes/products/ao11014,"298,000",Square: M ;Production in 2009,"W 9.1 x H 9.4 x D 8.7 ""
Strap Drop. 18.1 ""","Ivory, Brown
/ 100% Cotton, Leather",Dust Bag,"Though there is a little feeling of used, good condition.","Though there is a little feeling of used, good condition.",-,-,AO11014
HERMES BIRKIN 35 Hand Bag Etain Taurillon Clamence,/collections/hermes/products/ao09867,"1,280,000",Unclear due to deterioration.,"W 13.4 x H 9.8 x D 7.1 ""

Handle Drop. 3.9 ""","Etain
/ Taurillon Clamence","Cover of Keys, Keys*2, Dust Bag*2",Very good condition.,"Though bottom part has minor scuff, Very good condition.",-,-,AO09867
HERMES BOLIDE 47 Hand Tote Bag Black Traurillon Clemence,/collections/hermes/products/ao09314,"398,000",Square: D ; Production in 2000,"W 17.7 "" x H 14.6 "" x D 9.4 ""Handle Drop. 4.7 ""","Black
/ Traurillon Clemence","Cover of Key, Key*2, Padlock","Though there is a little feeling of used, good condition.","Though there is a little feeling of used, good condition.",-,-,AO09314
HERMES MINI KELLY 2 2way Hand Bag Red Box Calf,/collections/hermes/products/ao09294,"1,180,000",Circle: W ; Production in 1993,"W 7.9 x H 5.9 x D 3.5 ""
Handle Drop. 3.5 ""","Red
/ Box Calf",Shoulder Strap,There is feeling of used.,There is feeling of used.,-,-,AO09294
HERMES Mini Rodeo Cross Body Shoulder Bag Brown Fjord,/collections/hermes/products/ao09044,"89,800",-,"W 9.8 "" x H 7.1 "" x D 0.4 ""
Strap Drop. 20.5 ""","Light Brown
/ Fjord",Dust Bag,"Though metal fittings has rust, good condition.","Though there is a little feeling of used, good condition.",-,-,AO09044
HERMES MACPHERSON 2way Hand Bag Bi-Color Red Navy Veau Greine Couchevel,/collections/hermes/products/ao08808,"348,000",Square: B ; Production in 1998,"W 13.4 x H 11.8 x D 5.1 ""
Handle Drop. 3.9 ""
Shoulder Drop. 13.8 ""","Red, Navy
/
Veau Greine Couchevel","Shoulder Strap, Padlock, Cover of Keys, Keys*2, Box","There is scuff, dirt and minor discoloration, but good condition.","There is minor scuff, but good condition.",-,Strong smell of material.,AO08808
HERMES CHRISTINE Shoulder Bag Blue Blue White Toile H Traurillon Clemence,/collections/hermes/products/ao08378,"128,000",Square:D ; Production in 2000,"W 13.4 "" x H 10.6 "" x D 3.3 ""
Strap Drop. 15.0 ""","Blue, White
/ Toile H, Traurillon Clemence",-,"There is feeling of use, Corner is minor dirt.

Toile H is stain.","There is a little feeling of use, good condition.",-,-,AO08378
HERMES Aline Logos Shoulder Bag Ivory Red Cotton,/collections/hermes/products/ao07740,"79,800",-,"W 8.7 x H 11.0 x D 0.4 ""
Shoulder Drop. 14.4 ""","Ivory, Red
/
100% Cotton, Leather",-,"Handle is scuff and dirt, good condition.","There is a little feeling of use, good condition",-,-,AO07740
HERMES KELLY 35 Hand Bag Orange Traurillon Clemence,/collections/hermes/products/ao07584,"1,080,000",XT 1582 KI,"W 13.8 "" x H 9.8 "" x D 5.1 ""
Handle Drop. 3.9 ""
Strap Drop. 16.9 ""","Orange
/
Traurillon Clemence","Padlock, Keys*2, Cover of Keys, Shoulder Strap, Dust Bag*2, Rain Protection, Manual","Corner has minor dirt, Very good condition.",Very good condition.,-,-,AO07584
HERMES Le Bain Yachting Chevrons Drawstring Pouch Cotton,/collections/hermes/products/ao06353,"19,800",-,"W 8.7 "" x H 11.4 ""","Off-white, Dark blue
/
Toile chevrons",-,Very good condition.,Very good condition.,-,-,AO06353
HERMES Kelly Teddy Pochette Hand Warmer Doblis Mouton Muff,/collections/hermes/products/ao05348,"3,680,000",Square: Something ;Can not read unclear.,"W 11.8 "" x H 7.5 "" x D 2.0 ""

Handle Drop. 1.2 ""","Brown / Veau Velour Doblis, Mouton fur",Dust bag,"There is a little feeling of use, Little rubbed, Dust.","There is a little feeling of use, Little rubbed, Dust.",-,-,AO05348
HERMES Le Bain Yachting Chevrons Drawstring Pouch,/collections/hermes/products/ao05327,"10,800",-,"W 8.7 "" x H 11.4 ""","Off-white, Red / Toile chevrons",-,Very good condition.,Very good condition.,-,-,AO05327
HERMES Le Bain Yachting Chevrons Drawstring Pouch,/collections/hermes/products/ao05324,"10,800",-,"W 8.7 "" x H 11.4 ""","Off-white, Blue / Toile chevrons",-,Very good condition.,Very good condition.,-,-,AO05324
HERMES HIMARAYA Hand Bag Ostrich Crocodile porosus,/collections/hermes/products/ao04890,"1,980,000",Circle:Y ;Production in 1995,"W 16.5 "" x H 14.2 "" x D 6.3 ""

Handle Drop. 3.9 ""","Ivory, Brown, etc./Ostrich, Crocodile porpsus, Couchevel, Dobris",-,"Bottom corner: Little dirt

Less frequently used items","Little dirt

Less frequently used items",-,-,AO04890
HERMES Elephant Embroidery Shoulder Tote Bag White Toweling,/collections/hermes/products/ao04683,"29,800",-,"W 18.1 "" x H 13.8 "" x D 3.5 ""

Strap Drop. 9.8 ""","White, Blue, Pink, etc. / 100% Cotton",-,There is minor sign of use overall.,There is minor sign of use overall.,-,-,AO04683
HERMES Aline Ⅱ Rocabar Shoulder Tote Bag Camel 100%Wool,/collections/hermes/products/ao04333,"69,800",-,"W 13.0 × H 17.3 × D 0.6 ""

Shoulder Drop. 14.2 ""","Camel, Vermilion, Navy/ 100% Wool",-,There is minor sign of use overall.,"There is minor sign of use overall.

Side has frayed.",-,-,AO04333
